Country,Location,Name,Coordinates
AU,MDC,Mordialloc,3801S 14505E
AU,MEL,Melbourne,3749S 14458E
AU,MHW,Mount Hawthorn,3155S 11550E
AU,MID,Midland,3153N 11559W
AU,MKY,Mackay,2109S 14912E
AU,MLI,Melville Island,1133S 13056E
AU,MLL,Mooloolaba,2641S 15308E
AU,MOK,Moorook,3417S 14021E
AU,MON,Montara Field,1265S 12405E
AU,MOW,Mowbray Heights,4123S 14708E
AU,MQI,Macquarie Island,5429S 15856E
AU,MRK,Macquarie Park,3346S 15107E
AU,MWA,Mulwala,3600S 14600E
AU,NB2,North Bridge,3348S 15113E
AU,NEQ,Nericon,3412S 14602E
AU,NGH,Nganhurra,2129S 11400E
AU,NHU,Nhulunbuy,1211S 13647E
AU,NIV,Ningaloo Vision,2124S 11405E
AU,NLK,New Norfolk,4247S 14704E
AU,NSB,Broke,3245S 15106E
AU,OKF,Oak Flats,3433S 15049E
AU,ONS,Onslow,2139S 11506E
AU,P6D,Aspendale,3802S 14506E
AU,PAG,Paddington,3353S 15113E
AU,PAL,Palmerston,1228S 13050E
AU,PBN,Port of Brisbane,2723S 15310E
AU,PDI,Port Denison,2916S 11456E
AU,PEN,Pendle Hills,3348S 15057E
AU,PER,Perth,3157S 11551E
AU,PHP,Point Henry Pier/Melbourne,3807S 14426E
AU,PHR,Prahran,3751S 14500E
AU,PIC,Picton,3411S 15036E
AU,PIS,Phillip Island,3829S 14514E
AU,PKY,Port Kenny,3310S 13441E
AU,POR,Port Melbourne,3750S 14456E
AU,PTW,Port Willunga,3516S 13827E
AU,PYE,Pyrenees,3705S 14329E
AU,PYR,Pyrmont,3352S 15111E
AU,PYT,Pleystowe,2109S 14901E
AU,RAF,Raffles Bay,1116S 13223E
AU,RDS,Rhodes,3350S 15105E
AU,REV,Revesby,3357S 15100E
AU,RLL,Reynella,3606S 13832E
AU,RNB,Rosslyn Bay,2310S 15047E
AU,ROB,Robe,3711S 13945E
AU,ROZ,Rozelle,3351S 15110E
AU,RYP,Rocky Point,3330S 12359E
AU,SBN,South Brisbane,2728S 15301E
AU,SCL,Clare,3350S 13836E
AU,SCY,Scoresby,3754S 14513E
AU,SGT,Sandgate,3252S 15142E
AU,SHC,Crux,1257S 12426E
AU,SKA,Skardon River,1145S 14201E
AU,SMR,Seventeen Mile Rocks/Brisbane,2733S 15257E
AU,SOL,Shea Oak Log,3431S 13849E
AU,SPO,Spreyton,4113S 14621E
AU,STR,South Trees,2354S 15117E
AU,SUH,Surry Hills,3353S 15113E
AU,SYD,Sydney,3351S 15112E
AU,SYL,Sylvania,3401S 15106E
AU,T3P,Port Hacking,3404S 15108E
AU,THS,Tweed Heads South,2812S 15332E
AU,TOL,Toombul,2724S 15303E
AU,TOR,Toronto,3300S 15136E
AU,TRD,Tooradin,3813S 14523E
AU,TRI,Troughton Island,1345S 12608E
AU,TTS,Blackmans Bay,4259S 14719E
AU,ULA,Ulladulla,3521S 15025E
AU,UMB,Umbakumba,1351S 13648E
AU,VGH,Van Gogh Terminal,2124S 11405E
AU,VIC,Newtown,3742S 14339E
AU,WBT,Woollybutt (Oil facility),2103S 11452E
AU,WHL,Welshpool,3840S 14626E
AU,WIH,Wingham,3152S 15222E
AU,WNB,Withnell Bay,2035S 11647E
AU,WOO,Woolloomooloo,3352S 15113E
AU,WRB,Werribee,3754S 14439E
AU,WSI,Whitsunday Island,2015S 14901E
AU,WSN,Warners Bay,3258S 15139E
AU,WTN,Webberton,2845S 11437E
AU,WTW,Waterways,3800S 14507E
AU,WWP,Wentworth Point,3350S 15104E
AU,YRR,Yarra Junction,3747S 14537E
AW,AUA,Aruba,1230N 06958W
AW,BAR,Barcadera,1229N 06959W
AW,BUS,Bushiribana,1233N 06958W
AX,MHQ,Maarianhamina (Mariehamn),6006N 01957E
AX,MHQ,Mariehamn (Maarianhamina),6006N 01957E
AZ,ALA,Alat,3957N 04924E
AZ,KMZ,Khachmaz,4159N 04735E
AZ,QDG,Qaradag,4015N 04936E
AZ,SHI,Shirvan,3955N 04855E
AZ,SUQ,Sumqayit,4035N 04940E
BA,4CA,Cazin,4458N 01556E
BA,DOJ,Domaljevac,4503N 01834E
BA,FOJ,Fojnica,4357N 01754E
BA,JBA,Jablanica,4339N 01745E
BA,MAG,Maglaj,4432N 01805E
BA,NEM,Neum,4255N 01737E
BA,SMT,Sanski Most,4446N 01640E
BA,VGS,Vogosca,4354N 01821E
BA,ZNK,Zvornik,4423N 01906E
BB,STM,Saint Michael,1307N 05936W
BD,ASJ,Ashuganj,2402N 09101E
BD,BNP,Benapole,2303N 08854E
BD,CGP,Chattogram,2220N 09150E
BD,MUN,Munshiganj,2333N 09032E
BD,PAY,Payra Port,2156N 09016E
BD,PCR,Panchashar,2334N 09030E
BD,PGN,Pangaon,2339N 09027E
BE,7PD,Athis,5022N 00346E
BE,9IR,Eben-Emael,5048N 00540E
BE,AAB,Aalst,5056N 00402E
BE,AAL,Aalter,5105N 00327E
BE,ADK,Adinkerke,5104N 00236E
BE,AEJ,Arendonk,5119N 00505E
BE,AFN,Afsnee,5102N 00340E
BE,AGT,Argenteau,5042N 00542E
BE,AHE,Antheit,5033N 00513E
BE,AMY,Amay,5033N 00519E
BE,ANB,Angleur,5037N 00535E
BE,AND,Andenne,5029N 00506E
BE,ANH,Anhee,5019N 00453E
BE,ANR,Antwerpen,5113N 00425E
BE,APL,Appels,5102N 00404E
BE,APS,Ampsin,5032N 00517E
BE,APT,Appelterre-Eichem,5049N 00358E
BE,ASP,Asper,5055N 00339E
BE,ASR,Anseremme,5015N 00454E
BE,AST,Astene,5059N 00333E
BE,ATH,Ath,5037N 00346E
BE,ATO,Antoing,5034N 00327E
BE,AVE,Annevoie,5020N 00450E
BE,AVL,Avelgem,5046N 00326E
BE,AVS,Auvelais,5027N 00437E
BE,BAI,Baillonville,5017N 00520E
BE,BAN,Ben-Ahin,5031N 00510E
BE,BAT,Battel,5103N 00427E
BE,BAZ,Bazel,5109N 00418E
BE,BBG,Blankenberge,5119N 00308E
BE,BCM,Berchem,5047N 00330E
BE,BCR,Bellecourt,5029N 00415E
BE,BDU,Baudour,5029N 00349E
BE,BER,Beerse,5119N 00452E
BE,BGK,Balgerhoek,5112N 00331E
BE,BGN,Briegden,5052N 00537E
BE,BGS,Brugge (Bruges),5113N 00314E
BE,BHE,Boekhoute,5115N 00343E
BE,BHR,Bleharies,5031N 00324E
BE,BHU,Buggenhout,5101N 00412E
BE,BLE,Balen,5110N 00509E
BE,BLO,Beloeil,5033N 00343E
BE,BLT,Blaton,5030N 00339E
BE,BMB,Boortmeerbeek,5059N 00434E
BE,BNU,Berneau,5045N 00544E
BE,BO2,Bougnies,5023N 00356E
BE,BOA,Bas-Oha,5031N 00511E
BE,BOC,Bocholt,5110N 00535E
BE,BOM,Boom,5105N 00422E
BE,BON,Bornem,5106N 00414E
BE,BOO,Boorsem,5056N 00543E
BE,BRE,Bree,5108N 00536E
BE,BRM,Beernem,5109N 00320E
BE,BRT,Berendrecht,5120N 00419E
BE,BRU,Brussel (Bruxelles),5050N 00420E
BE,BRU,Bruxelles (Brussel),5050N 00420E
BE,BRY,Bruyelle,5033N 00325E
BE,BSE,Bissegem,5049N 00313E
BE,BSI,Labuissiere,5019N 00410E
BE,BSR,Baasrode,5102N 00410E
BE,BSU,Bossuit,5045N 00324E
BE,BTX,Bertrix,4951N 00515E
BE,BUD,Burcht,5112N 00421E
BE,BVE,Bever,5043N 00356E
BE,BVM,Bouvignes-sur-Meuse,5016N 00454E
BE,BVO,Beverlo,5105N 00512E
BE,BWN,Warneton,5045N 00257E
BE,CBQ,Clabecq,5041N 00413E
BE,CCS,Courcelles,5028N 00422E
BE,CLN,Calonne,5034N 00326E
BE,COM,Comines,5046N 00259E
BE,COU,Couillet,5023N 00427E
BE,CRA,Cheratte,5041N 00540E
BE,CRL,Charleroi,5025N 00426E
BE,CRQ,Chercq,5035N 00324E
BE,CTA,Chertal,5041N 00540E
BE,CTL,Chatelineau,5025N 00431E
BE,DDR,Dendermonde,5102N 00407E
BE,DEG,Deurne,5113N 00428E
BE,DEL,Doel,5119N 00416E
BE,DEZ,Deinze,5059N 00332E
BE,DGN,Drongen,5103N 00340E
BE,DIA,Dinant,5016N 00455E
BE,DIK,Diksmuide,5102N 00252E
BE,DKN,Daknam,5108N 00359E
BE,DLS,Dilsen,5102N 00544E
